label,text,clean_text
ham,Dad wants to know if you're coming home tomorrow.,dad wants to know if youre coming home tomorrow
ham,"Class got cancelled, no notes needed today.",class got cancelled no notes needed today
ham,I'll bring the notes to the meeting tomorrow.,ill bring the notes to the meeting tomorrow
ham,"Happy to help, just call me anytime.",happy to help just call me anytime
ham,See you tomorrow at the usual coffee place.,see you tomorrow at the usual coffee place
ham,The doctor's appointment is confirmed for tomorrow.,the doctors appointment is confirmed for tomorrow
ham,"Sorry for the late reply, was in a meeting.",sorry for the late reply was in a meeting
ham,Can you send the project file before tomorrow?,can you send the project file before tomorrow
ham,"Thanks for lunch, let's do it again soon.",thanks for lunch lets do it again soon
ham,I'll pick you up for the gym tomorrow morning.,ill pick you up for the gym tomorrow morning
ham,"Meeting notes are attached, check before tomorrow.",meeting notes are attached check before tomorrow
ham,Happy weekend! See you at the gym.,happy weekend see you at the gym
ham,"Call me back when you're free, nothing urgent.",call me back when youre free nothing urgent
ham,"Thanks for the birthday wishes, means a lot.",thanks for the birthday wishes means a lot
ham,Let's catch up over coffee this weekend.,lets catch up over coffee this weekend
ham,"I'm at work, will call you after the meeting.",im at work will call you after the meeting
ham,Can you check the notes and call me tonight?,can you check the notes and call me tonight
ham,"Dinner at mom's tomorrow, don't be late.",dinner at moms tomorrow dont be late
ham,Thanks for covering my shift today.,thanks for covering my shift today
ham,"See you tomorrow, drive safe.",see you tomorrow drive safe
ham,The meeting tomorrow is confirmed for 10am.,the meeting tomorrow is confirmed for am
ham,"Congrats again, the whole team is proud.",congrats again the whole team is proud
ham,Can we push the call to tomorrow afternoon?,can we push the call to tomorrow afternoon
ham,I'll send the notes right after the meeting.,ill send the notes right after the meeting
ham,Thanks for the coffee this morning.,thanks for the coffee this morning
ham,Let's meet tomorrow to finish the project.,lets meet tomorrow to finish the project
ham,Good luck with the appointment tomorrow.,good luck with the appointment tomorrow
ham,"Call me tomorrow, I have some news to share.",call me tomorrow i have some news to share
ham,Thanks for picking up the kids today.,thanks for picking up the kids today
ham,"See you at the meeting, bring your notes.",see you at the meeting bring your notes
ham,"Home now, dinner will be ready soon.",home now dinner will be ready soon
ham,"Can't wait for the weekend trip, thanks for planning.",cant wait for the weekend trip thanks for planning
ham,"Sorry, stuck in traffic, call you when I'm home.",sorry stuck in traffic call you when im home
spam,"URGENT! You have won a free prize, claim now!",urgent you have won a free prize claim now
spam,Congratulations! You've been selected for a free cash award.,congratulations youve been selected for a free cash award
spam,"WIN a guaranteed cash prize, text WIN to claim now.",win a guaranteed cash prize text win to claim now
spam,"URGENT! Your mobile number has won a free prize, call now.",urgent your mobile number has won a free prize call now
spam,"Free entry to win a cash prize, click the link now.",free entry to win a cash prize click the link now
spam,"Claim your free cash prize now, urgent reply needed.",claim your free cash prize now urgent reply needed
spam,"You have been selected to win a free voucher, claim now.",you have been selected to win a free voucher claim now
spam,URGENT! Reply now to claim your free cash prize.,urgent reply now to claim your free cash prize
spam,"Winner! You've won a free cash award, text CLAIM now.",winner youve won a free cash award text claim now
spam,"Free cash prize waiting, call now to claim urgent offer.",free cash prize waiting call now to claim urgent offer
spam,"Exclusive offer: claim your free prize now, urgent!",exclusive offer claim your free prize now urgent
spam,"URGENT! Limited time, claim your free cash now.",urgent limited time claim your free cash now
spam,"Congratulations winner! Free cash prize, reply now to claim.",congratulations winner free cash prize reply now to claim
spam,"Your account has won a free prize, click now to claim.",your account has won a free prize click now to claim
spam,Text WIN now for a chance to claim free cash prize.,text win now for a chance to claim free cash prize
spam,"URGENT offer! Free prize guaranteed, call now to claim.",urgent offer free prize guaranteed call now to claim
spam,You are a winner! Claim your free cash prize urgent.,you are a winner claim your free cash prize urgent
spam,"Free voucher waiting, urgent reply to claim cash prize.",free voucher waiting urgent reply to claim cash prize
spam,"Congratulations! Urgent, claim your guaranteed prize now.",congratulations urgent claim your guaranteed prize now
spam,"WIN free cash now, click link, urgent claim required.",win free cash now click link urgent claim required
spam,"URGENT! You have a free prize, text CLAIM to collect now.",urgent you have a free prize text claim to collect now
spam,"Selected winner, free cash prize, call urgent now.",selected winner free cash prize call urgent now
spam,"Claim now! Free prize and cash bonus, urgent offer.",claim now free prize and cash bonus urgent offer
spam,"URGENT! Free cash award waiting, reply CLAIM now.",urgent free cash award waiting reply claim now
spam,"Congratulations, you win! Claim your free prize urgent now.",congratulations you win claim your free prize urgent now
ham,Are you free tonight for dinner?,are you free tonight for dinner
ham,"Congrats on the win, let's celebrate this weekend!",congrats on the win lets celebrate this weekend
ham,I'll text you the address now.,ill text you the address now
ham,"Call me back urgent, mom needs you home.",call me back urgent mom needs you home
ham,Can I get your number to text you later?,can i get your number to text you later
ham,Free tomorrow afternoon? Let's catch up.,free tomorrow afternoon lets catch up
ham,"Great news, call me now, I'm so excited!",great news call me now im so excited
spam,Reply now to secure your exclusive reward before it expires.,reply now to secure your exclusive reward before it expires
spam,"Your account is due a bonus, confirm today to receive it.",your account is due a bonus confirm today to receive it
spam,"Act fast, this offer expires today, don't miss out.",act fast this offer expires today dont miss out
spam,"You are eligible for a special gift, respond immediately.",you are eligible for a special gift respond immediately
spam,"Final notice: your reward is ready, confirm to collect.",final notice your reward is ready confirm to collect
spam,"Selected for an exclusive deal, confirm today to receive.",selected for an exclusive deal confirm today to receive
